#disease	phenotype	onset	frequency	severity
MONDO:0007042	HP:0000294		HP:0040282	
MONDO:0007042	HP:0000316		HP:0040282	
MONDO:0007042	HP:0000324		HP:0040281	
MONDO:0007042	HP:0000327		HP:0040283	
MONDO:0007042	HP:0000348		HP:0040281	
MONDO:0007042	HP:0000365			
MONDO:0007042	HP:0000369		HP:0040283	
MONDO:0007042	HP:0000444		HP:0040282	
MONDO:0007042	HP:0000460			
MONDO:0007042	HP:0000486		HP:0040282	
MONDO:0007042	HP:0000508		HP:0040282	
MONDO:0007042	HP:0000557			
MONDO:0007042	HP:0000586			
MONDO:0007042	HP:0000614			
MONDO:0007042	HP:0001156		HP:0040282	
MONDO:0007042	HP:0001249		HP:0040283	
MONDO:0007042	HP:0001357		HP:0040282	
MONDO:0007042	HP:0001627			
MONDO:0007042	HP:0001770			
MONDO:0007042	HP:0001822		HP:0040283	
MONDO:0007042	HP:0002342		HP:0040283	
MONDO:0007042	HP:0002644			
MONDO:0007042	HP:0002678			
MONDO:0007042	HP:0002697			
MONDO:0007042	HP:0002974			
MONDO:0007042	HP:0003002			
MONDO:0007042	HP:0003189			
MONDO:0007042	HP:0003828			
MONDO:0007042	HP:0004209		HP:0040281	
MONDO:0007042	HP:0004322		HP:0040283	
MONDO:0007042	HP:0004425			
MONDO:0007042	HP:0004440			
MONDO:0007042	HP:0004443			
MONDO:0007042	HP:0008551		HP:0040282	
MONDO:0007042	HP:0009899		HP:0040282	
MONDO:0007042	HP:0009951			
MONDO:0007042	HP:0009968			
MONDO:0007042	HP:0010104			
MONDO:0007042	HP:0011323			
MONDO:0007042	HP:0012368			
MONDO:0007042	HP:0030680		HP:0040283	
MONDO:0007043	HP:0000006			
MONDO:0007043	HP:0000218		HP:0040283	
MONDO:0007043	HP:0000238			
MONDO:0007043	HP:0000244			
MONDO:0007043	HP:0000303		HP:0040283	
MONDO:0007043	HP:0000316		HP:0040282	
MONDO:0007043	HP:0000327			
MONDO:0007043	HP:0000452			
MONDO:0007043	HP:0000453			
MONDO:0007043	HP:0000486			
MONDO:0007043	HP:0000494			
MONDO:0007043	HP:0000586			
MONDO:0007043	HP:0000678			
MONDO:0007043	HP:0001249			
MONDO:0007043	HP:0002308			
MONDO:0007043	HP:0002676		HP:0040283	
MONDO:0007043	HP:0002780			
MONDO:0007043	HP:0003041			
MONDO:0007043	HP:0003070			
MONDO:0007043	HP:0003196			
MONDO:0007043	HP:0003795			
MONDO:0007043	HP:0004440			
MONDO:0007043	HP:0005280			
MONDO:0007043	HP:0005347			
MONDO:0007043	HP:0006101		HP:0040282	
MONDO:0007043	HP:0006110			
